a,22385.63
aarón,0.95
aba,0.32
abad,8.51
abades,0.63
abadía,0.95
abaixo,0.32
abajo,129.80
abal,0.32
abalada,0.32
abalanzaba,0.32
abalanzaban,0.32
abalanzarse,0.32
abalanzó,0.32
abánades,0.63
abanderado,0.32
abanderados,0.32
abanderando,0.32
abandona,9.14
abandonaba,1.26
abandonaban,0.32
abandonada,4.73
abandonadas,1.58
abandonado,12.92
abandonados,5.36
abandonamos,0.63
abandonan,2.52
abandonando,0.95
abandonar,19.85
abandonara,0.63
abandonará,0.95
abandonaran,0.32
abandonaría,0.32
abandonarían,0.32
abandonarla,0.32
abandonarlas,0.32
abandonarle,0.32
abandonarlos,0.32
abandonaron,1.58
abandonarse,0.32
abandonas,0.95
abandonase,0.32
abandonaste,0.95
abandone,1.89
abandoné,1.89
abandonemos,0.32
abandonen,2.52
abandono,12.29
abandonó,6.30
abandonos,0.63
abanico,6.62
abanicos,1.26
abanique,0.32
abarata,0.32
abaratar,1.26
abarate,0.32
abarca,4.73
abarcaba,0.32
abarcado,0.63
abarcando,0.63
abarcar,1.58
abarcará,0.32
abarcarla,0.32
abarcarlas,0.32
abarcas,0.32
abarque,0.32
abarqué,0.32
abarquemos,0.32
abarrotada,0.63
abarrotadísimo,0.32
abarrotados,0.63
abarrotamiento,0.32
abascal,4.73
abastecen,0.32
abastecer,1.26
abastecerse,0.32
abastecimiento,0.32
abastecimientos,0.32
abasto,0.32
abastos,1.89
abatibles,0.32
abatida,0.32
abatido,0.32
abatidos,1.26
abatiéndose,0.32
abatimiento,0.95
abatió,0.63
abc,4.73
abcisas,0.63
abdicación,0.32
abdicar,0.32
abdicó,0.63
abdique,0.32
abdome,0.32
abdomen,5.99
abdominal,0.63
abdominales,1.89
abducción,2.21
abducidos,0.32
abductores,0.63
abeba,1.26
abebe,0.32
abecé,0.32
abecedario,0.95
abedul,0.32
abeja,1.89
abejarrón,0.32
abejarrucos,0.32
abejas,2.52
abejita,0.32
abel,9.77
abelardo,0.63
abella,0.95
abelló,1.89
abengoa,1.58
aberasturi,0.32
aberdeen,0.32
aberración,3.15
aberraciones,0.63
aberrante,2.21
abertura,2.21
abertzale,0.63
abierta,34.97
abiertamente,4.73
abiertas,15.44
abierto,62.38
abiertos,10.71
abigaíl,0.32
abigarradas,0.32
abisinia,0.32
abismal,1.58
abismales,1.26
abismo,5.36
ablandarlos,0.32
abluciones,0.32
abnegación,0.95
abnegadas,0.32
abocaba,0.32
abocada,0.63
abocadas,0.63
abocado,0.63
abocados,0.95
abocar,0.32
abocaron,0.32
abochornado,0.32
abocinado,0.63
abofetearme,0.32
abofetéenme,0.32
aboga,0.32
abogacía,4.73
abogada,3.47
abogadas,0.95
abogadito,0.32
abogado,82.55
abogados,28.99
abogamos,0.32
abogan,1.26
abogando,0.63
abogar,0.32
abogo,0.32
abolengo,0.32
abolición,1.89
abolida,0.63
abolidas,0.32
abolido,0.32
abollado,0.32
abombado,0.32
abombamiento,0.32
abomban,0.32
abombando,0.63
abominable,0.32
abomino,0.32
abona,0.63
abonado,1.89
abonados,2.52
abonar,2.84
abonaron,0.95
abónate,0.32
abono,4.41
abonos,2.52
aborda,2.84
abordaba,0.32
abordado,1.58
abordados,0.32
abordaje,1.26
abordamos,1.26
abordan,0.95
abordando,0.32
abordándolo,0.32
abordar,11.34
abordará,0.32
abordaremos,0.32
abordaría,0.32
abordarlo,0.32
abordarse,0.63
aborde,0.63
abordemos,0.32
abordo,1.58
abordó,0.32
aborigen,0.32
aborígenes,0.63
aborrecer,0.95
aborrecías,0.32
aborrecimiento,0.32
aborregada,0.63
aborregadas,0.32
abortar,3.15
abortaría,1.26
abortarías,0.32
abortistas,0.63
abortivas,0.95
abortivos,0.63
aborto,11.97
abortos,0.95
about,0.95
abra,7.25
abracen,0.32
abraces,0.32
abraham,10.40
ábrame,0.63
abramos,1.26
abran,6.30
